pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,852.7658654764969
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,851.0862357491076
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,857.6320843472429
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,857.7294021375366
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,853.9274264771836
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,849.7737041750663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,849.4407536507451
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,852.5554216504047
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,852.2079103919186
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,859.0589543845915
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,858.8889688548371
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,855.0726703491164
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,850.2305038605084
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,850.5647638873344
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,853.6881511531735
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,853.2468874720639
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,860.212560137371
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,860.0430116393557
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,856.2151128017617
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,851.3660114264549
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,851.481991063609
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,854.8105391877357
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,854.3826060896845
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,861.3610702639032
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,861.1946860587113
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,857.3579145044139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,852.5045658556592
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,852.6142150768433
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,852.3472649157849
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,851.9160506453088
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,858.8768372440799
